Name,Description,Logo URL,Search URL
ART,"ART Rulman - Арт Рулман - подшипники сделанные в Турции.

АРТ принадлежит группе компаний Bera Holding, имеющей предприятия в области производства бумаги, картона, полиграфии, упаковки, машин и технологий; (несущие, крановые и др.), строительные и строительные материалы (бетонный завод, сборные конструкции, ПВХ, МДФ и др.), мрамор и минерал; (мрамор, известь, кальцит и т. д.), продукты питания и маркетинг (макаронные изделия, мука, манная крупа, бобовые, печенье, вода и т. д.), туризм.

Bera Holding Group, начала свою деятельность в 1989 году.

В компании непосредственно занято 6.000 человек и она обеспечивает работой еще 15.000 чел.

- торговая марка принадлежащая компании BERA Holding (Турция). 
Бренды принадлещащие BERA Holding: 
 (Румыния, Rulmenti SA, Barlad), 
 (Турция), 
 (Венгрия).


 
сайт  Турция

Официальный дистрибьютор Schaeffler ( FAG, INA ). Официальный дистрибьютор FERSA Испания. Официальный дистрибьютор NKE. Официальный дистрибьютор KOYO Япония. Официальный дистрибьютор ITJ Япония. Авторизованный дилер FBJ. Официальный дистрибьютор ZVL Словакия. Авторизованный дистрибьютор URB Румыния. Официальный дистрибьютор DAS LAGER (Турция). Авторизованный дистрибьютор HGF Bearings (Китай). Эксклюзивный дистрибьютор",https://aprom.by/images/logo_art.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ART
ARTNC,"– торговая марка под которой производятся комплектующие для промышленных предприятий. Производственные мощности расположены в Юго-Восточной Азии (Тайвань, Малайзия, Китай) и Южной Европе (Италия). Благодаря расположению заводов и постоянному контролю качества на каждом этапе производства продукция держит оптимальное соотношение цены и качества. Качество продукции подтверждено сертификатами соответствия международным стандартам, таким как ISO 9001:2000, ГОСТ 520-2011 и др.

•	подшипники;
•	планетарные и волновые редукторы;
•	сервоприводы;
•	линейная техника (зубчатые рейки, цилиндрические валы и втулки, трапецеидальные винты и гайки, линейные направляющие, ШВП (шарико-винтовые передачи), РВП (ролико-винтовые передачи));
•	соединительные муфты;
•	сервисный инструмент (съемники для тел вращения, индукционные нагреватели);
•	системы смазки и др.

Наши подшипники производятся на тех же заводах, что и подшипники мировых брендов.
Производство сосредоточено в  Малайзии и Китае.

Продажа комплектующих для промышленного оборудования. Официальный и авторизованный дистрибьютор: SKF, Timken, NTN-SNR, Hiwin, Henkel (Loctite, Teroson, Bonderite, Staticmix), Sandvik, Teknomotor, EVOLMEC, FLURO, SAMICK, BETEX, LIMING,",https://aprom.by/images/logo_artnc.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ARTNC
ASAHI,"С 1975 года компания производит муфты и системы линейного перемещения.

В 2004 году компания ASAHI SEIKO CO., LTD.,   
прошла сертификацию по системе ISO 14001.

Подшипники (ГОСТ, импорт, высокоточные, высокотемпературные):SKF,FAG,NSK,KOYO,SNR,INA,ISB,MTM,CX,",https://aprom.by/images/logo_asahi.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ASAHI
ASKUBAL,"ASKUBAL - основана как cемейная компания в 1930 году в Германии. В 1958-1959-м годах компания преобрела производство в Штудгарте и стала производителем. Компания разрабатывает и производит как собственную продукцию под брендами ASKUBAL, ASKUROL и ASK, а так же является официальным дистрибьютером нескольких брендом с мировым именем. Философия компании основана на высоком качестве, реализации пожеланий заказчика и точном соблюдении сроков производства и поставки. Девиз ASKUBAL ""качество и динамика в совершенстве"" Компания имеет сертификат DIN ISO 9001 и 14001, что дает гарантию высокого уровня менеджмента и качества производимой продукции. На сегодняшний день компания производит более 6000 стандартных и специальных деталей для промышленного и автомобильнгого сектора.",https://aprom.by/images/logo_askubal.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ASKUBAL
AURORA,"Aurora быстро стала известна благодаря высокому качеству инженерных продуктов и сильному стремлению к обслуживанию клиентов, компания значительно увеличила свой ассортимент и охват рынка и в настоящий момент является крупной частью промышленного и аэрокосмического рынка.",https://aprom.by/images/logo_aurora.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=AURORA
American roller bearings,,https://aprom.by/images/logo_american roller bearings.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=American roller bearings
BAO POWER,"Китай

 - Китайская компания по производству приводных ремней.

Приводные ремни - торговый бренд Zhejiang Powerbelt Co., Ltd.

Zhejiang Powerbelt Company Ltd расположена в уезде Тяньтай провинции Чжэцзян, в городе, которому присвоено звание “город промышленных ремней” в Китае.

Компания была основана в 1994 г. Предприятие расположено на площади 45 тыс. квадратных метров. 
Производственные помещения занимают 30 тыс. квадратных метров. 
Уставный фонд компании составляет 30 млн. юаней. 
Общая сумма активов более 150 млн. юаней. Число сотрудников превышает 300 человек.

Завод в основном производит простые и узкие клиновые ремни  для сельскохозяйственных машин, агрегатов и прочих промышленных механизмов, а также конвейерные ленты. Качество  изготовления отличается исключительно высоким уровнем, строго следует государственным стандартам, сертифицировано в соответствии с системой менеджмента качества ISO9001:2000.

ООО Чжэцзянская компания Powerbelt (Zhejiang Powerbelt Co., Ltd.) является одним из “десяти китайских мощных предприятий V-образных ремней”. Продукция V-образных ремней марки Power является известным товарным знаком провинции Чжэцзян, фирменной продукцией провинции Чжэцзян и прошли сертификацию систем ISO9001, ISO14001, ISO10012 и др.

Производимая продукция-  несколько категорий промышленных ремней: обычный V-образный ремень, узкий V-образный ремень, V-образный ремень для сельскохозяйственных машин, группированный V-образный ремень, двухсторонний V-образный ремень (гексагональный ремень), зубовидный V-образный ремень, разрезной V-образный ремень и т.д. Компания Powerbelt одновременно увеличила интенсивность разработки и производства ленточных конвейерных лент, чтобы качество продукции было лучше и стабильнее. Все изделия компании уже обладают более чем 20 видами государственных авторизованных патентов. Кроме того, многие патенты уже приняты на рассмотрение Государственным патентным бюро. Изделия пользуется широким сбытом во всех регионах Китая. Изделия экспортируются на международные рынки Южной Африки, Европы, Юго-Восточной Азии, Среднего Востока, Африки и т.д., Приводные ремни имеют хорошую известность и заслуженную репутацию.

Компания Powerbelt - отличный поставщик V-образных ремней мирового уровня.

Подшипники (ГОСТ, импорт, высокоточные, высокотемпературные):SKF,FAG,NSK,KOYO,SNR,INA,ISB,MTM,CX,ASAHI,TIMKEN, FERSA, NTN, Nachi, FBJ, BBC-R,ZKL, CRAFT,ГПЗ, АПП, РВЗ, Волжский стандарт, МПЗ, 1-ГП3, ГПЗ-2, 10-ГПЗ и д.р. Обгонные муфты: CSK, P, PP, HF, HFL, AS, ASK, GFK, ASNU, AE,AA, NF, NFR, AV, RSBV и д.р. Системы линейного перемещения: Валы прецензионные, линейные подшипники, каретки, Винты ШВП (TECHNIX,SKF, Hiwin, Bosch Rexroth, THK и д.р.) Валы(штока) полированные и хромированные. Приводные ремни: CONTITECH, PiBelt, Sunway, PIX, RUBENA,",https://aprom.by/images/logo_bao power.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BAO POWER
BARDEN,"Подшипники Барден (Barden)Гарантии производителя по качеству продукции

Инвестирование средств в инженерные и технические кадры рассматривается компанией 
как важный момент деятельности всего производства. Начиная с момента основания, 
постоянно производится качественный подбор кадров, а также периодическое обучение
уже работающих специалистов. Компания вкладывает средства в бюджеты учебных заведений,
которыми подготавливаются инженерные кадры, стабильно поощряет абитуриентов, выбирающих инженерную стезю. 
Результат не заставляет ждать. Действительность показывает – продукция фирмы обладает высочайшим уровнем
качества, любому потребителю гарантируется полное отсутствие дефектов. Плюс к этому, компания гарантирует
 высокое качество торговых услуг и сервисного обслуживания.

Подшипники ГОСТ (ГПЗ, ГПЗ-34, АПП, VPZ, КНР и др…). Подшипники, комплектующие и оборудование, Производителей: REXROTH, WINKEL, NTN / SNR, SKF, FAG / INA, NSK RHP, KOYO, NACHI, ASAHI, TIOMKEN, GAMET, SNFA, BEKO,",https://aprom.by/images/logo_barden.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BARDEN
BBC-R,"- торговая марка принадлежащая группе компаний ГК «Baltic Bearing Company» (бренды:
,
,
,
,
 
)

ГК  является предприятием, оснащенным современным 
производственным и измерительным оборудованием с системой менеджмента качества, 
соответствующей требованиям стандартов серий ISO9001, TS16949, ISO14001.

Продукция  поставляется для различных отраслей промышленности - автомобильной, 
электротехнической, станкостроительной, металлургической, сельскохозяйственного машиностроения, 
топливно-энергетического комплекса и др.

Все прецизионное оборудование, смонтированное в виде коротких автоматических линий, 
соответствует требованиям стандартов ЕС, что гарантирует его безопасную эксплуатацию 
и позволяет изготавливать продукцию высокого качества.

Подшипники (ГОСТ, импорт, высокоточные, высокотемпературные):SKF,FAG,NSK,KOYO,SNR,INA,ISB,MTM,CX,ASAHI,TIMKEN, FERSA, NTN, Nachi, FBJ,",https://aprom.by/images/logo_bbc-r.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BBC-R
BBS,,https://aprom.by/images/logo_bbs.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BBS
BCR,"Все изделия соответствуют стандарту Hight Quality благодаря строгому контролю и современному оборудованию. Они сертифицированы для применения в высоконагруженных узлах с повышенными требованиями к надежности.

Происхождение продукции подтверждается:
• Европейским сертификатом ISO9001-2015
• Сертификатом страны происхождения - Чехия (Certificate of origin)

Подшипники SKF, FAG, INA, SNR, KYK, NTN, NACHI, ITJ, ZKL, URB,",https://aprom.by/images/logo_bcr.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BCR
BECO,"Италия

 S.r.l(BECO Srl Italy)  - это  шариковые подшипники и шариковые подшипники из 

 - BHT (Beco High Temperature bearing ) - высокотемпературные шариковые подшипники (выдерживающие экстремальную температуру).
 - BSS (Beco  Stainless Steel bearings) - шариковые подшипники из нержавеющей стали (антимагнитные).
 - BLS - (Beco Low temperature Steel bearing )подшипники для низких темератур (до -70 С). 
 - BJ - сферические подшипники скольжения. 
 - корпусные высокотемпературные шариковые самоустанавливающиеся подшипники.


Макс. температура по Цельсию 400° C. 
Макс. температура по Фаренгейту 752° F



Авиационные конвейеры
Цепные передачи
Промышленные вентиляторы
Промышленные нагреватели
Различные компоненты печей
Сельскохозяйственная техника
Подвесные конвейеры
Компрессоры с воздушным охлаждением
Промышленные вентиляторы
Упаковочное оборудование
Бумажная промышленность
Печи для покраски
Сталелитейная промышленность
Печи для керамической промышленности
Промышленные тележки
Тележки для промышленных печей для обжига кирпича
Подвесные конвейеры для предприятий пищевой промышленности
Текстильная промышленность
Ткацкая отрасль
Судостроительная промышленность
Пищевая промышленность


сайт  Италия

Подшипники BECO - это качественная альтернатива продукции европейских лидеров отрасли, например таких как SNR и SKF.

Производственные площади, штаб-квартира и основной склад BECO  находится в итальянском городе Кунео, что в 100 километрах к югу от Турина (административная область Пьемонт).

Итальянская компания BECO предлагает большой ряд изделий, обладающих высокими технологическими показателями.

В широком ассортименте представлены подшипники: высокотемпературные подшипники, сверхточные, низкотемпературные, двухрядные шариковые, роликовые цилиндрические подшипники, упорные роликовые, радиальные однорядные, радиально-упорные шариковые, конические роликовые, двухрядные шариковые (самоустанавливающиеся),для особых условий рабочей среды. Подшипники AM, APZ, ASAHI,",https://aprom.by/images/logo_beco.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BECO
BETEX,"Инструменты используются в производственных и ремонтных отделах компаний MRO и OEM. Bega Special Tools поставляет продукцию во все отрасли промышленности. Специалисты компании могут поставлять (индивидуальные) решения, например, в ветроэнергетической, железнодорожной, горнодобывающей и сталелитейной промышленности.

Продукция:
Индукционные нагреватели
Гидравлические съемники
Гидравлические клинья
Гидравлические мини-прессы
Механические съемники
Гидравлические домкраты и цилиндры
Инструмент для диагностики и настройки

Продажа комплектующих для промышленного оборудования. Официальный и авторизованный дистрибьютор: SKF, Timken, NTN-SNR, Hiwin, Henkel (Loctite, Teroson, Bonderite, Staticmix), Sandvik, Teknomotor, EVOLMEC, FLURO, SAMICK,",https://aprom.by/images/logo_betex.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BETEX
BOSCH,"BOSCH — немецкий бренд, под которым производится множество продукции:  промышленное и бытовое оборудование, инструменты, запчасти и.д.

Компания Bosch (полное название Robert Bosch GmbH) основана в далеком 1886 году в Штутгарте немецким инженером и предпринимателем Робертом Бошем. 
Главный офис компании Robert Bosch GmbH (произносится: Ро́берт Бош ГмбХ) расположен в городе Герлинген, Германия, недалеко от Штутгарта.

Направления деятельности компании BOSCH:
• Автокомпоненты
• Потребительские товары
• Промышленные технологии
• Строительные технологии и Энергетика

В Группу компаний Bosch входят Robert Bosch GmbH и примерно 440 дочерних предприятий и региональных компаний приблизительно в 60 странах. Вместе с партнерами в сфере продаж и обслуживания компания Bosch представлена почти в 150 странах.

В состав Bosch входит компания  которая была образована 2001 году в результате слияния двух компаний — Mannesmann Rexroth AG и Robert Bosch GmbH, и занялась производством промышленной и мобильной гидравлики высокого качества:
• Сборочные и конвейерные технологии
• Промышленная гидравлика
• Мобильная гидравлика
• Электроприводы и системы управления
• Техника линейных перемещений
• Технологии сварки
• Система затяжки
• Редукторы

 
сайт  Германия

Подшипники (ГОСТ, импорт, высокоточные, высокотемпературные):SKF,FAG,NSK,KOYO,SNR,INA,ISB,MTM,CX,ASAHI,TIMKEN, FERSA, NTN, Nachi, FBJ, BBC-R,ZKL, CRAFT,ГПЗ, АПП, РВЗ, Волжский стандарт, МПЗ, 1-ГП3, ГПЗ-2, 10-ГПЗ и д.р. Обгонные муфты: CSK, P, PP, HF, HFL, AS, ASK, GFK, ASNU, AE,AA, NF, NFR, AV, RSBV и д.р. Системы линейного перемещения: Валы прецензионные, линейные подшипники, каретки, Винты ШВП (TECHNIX,SKF, Hiwin,",https://aprom.by/images/logo_bosch.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BOSCH
BROWNING,"Browning Bearings - американский бренд был основан в 1886 году в Мейсвилле, штат Кентукки. Компания начинала свою деятельность как производитель ременных передач и винтовых редукторов для сельскохозяйственной техники и транспортных средств. Со временем компания существенно расширила ассортимент своей продукции и уже к середине XX века в ее каталогах появились комплектующие зубчатых, цепных и червячных передач, а также шариковые и роликовые подшипники. Фирма Browning – производитель, качество продукции которого традиционно высоко, поэтому узлам и деталям из Кентукки доверяют не только в США, но и в Европе, России и странах Азии.

Подшипники, выпускаемые Browning, используются в самых различных отраслях человеческой деятельности. Их можно встретить в автомобилях, станках, энергетическом оборудовании, военной технике и даже катушках для спиннингов. Благодаря серьезному отношению фирмы к качеству и сервисному обслуживанию, продукцию бренда можно отнести к категории премиум-класса. На многие детали и их элементы предоставляется многолетняя гарантия.


сайт  США",https://aprom.by/images/logo_browning.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=BROWNING
